year,year_month,product_category_name_english,order_items_count,distinct_orders,revenue,avg_freight_ratio,avg_review_score,late_delivery_rate
2017,2017-01,musical_instruments,1,1,357.74,0.05031587186224632,4.0,0.0
2017,2017-01,office_furniture,10,7,1817.74,0.18637900959428647,2.8,0.0
2017,2017-01,perfumery,34,29,5654.01,0.15440750345569795,4.818181818181818,0.0
2017,2017-01,pet_shop,15,13,1182.39,0.29999887930992525,4.2,0.0
2017,2017-01,security_and_services,1,1,209.06,0.12326604802449058,4.0,0.0
2017,2017-01,small_appliances,6,6,1788.25,0.12618694090837332,4.666666666666667,0.16666666666666666
2017,2017-01,sports_leisure,86,62,11856.71,0.22005813407981117,4.0120481927710845,0.04838709677419355
2017,2017-01,stationery,14,7,1754.61,0.14583698110170054,4.785714285714286,0.0
2017,2017-01,telephony,26,21,3411.51,0.3838064124426833,4.0,0.0
2017,2017-01,toys,43,43,5570.38,0.1774412473790631,4.255813953488372,0.0
2017,2017-01,watches_gifts,11,11,8310.83,0.05566549239290659,4.0,0.09090909090909091
2017,2017-01,Unknown,13,11,1915.73,0.25711260050468443,3.6153846153846154,0.0
2017,2017-02,agro_industry_and_commerce,7,7,331.1,0.3595022325909127,3.857142857142857,0.0
2017,2017-02,air_conditioning,12,12,3439.71,0.11651892408021901,2.7272727272727275,0.0
2017,2017-02,audio,5,5,247.85,0.3548994294511616,3.4,0.0
2017,2017-02,auto,87,77,15241.53,0.21112265381650674,4.255813953488372,0.06493506493506493
2017,2017-02,baby,34,33,3714.29,0.252142631334293,4.151515151515151,0.030303030303030304
2017,2017-02,bed_bath_table,169,146,20195.97,0.19284413525954314,4.198795180722891,0.02054794520547945
2017,2017-02,books_general_interest,8,8,950.02,0.18740661670920022,4.375,0.125
2017,2017-02,books_imported,1,1,114.9,0.13838120104438642,1.0,0.0
2017,2017-02,books_technical,1,1,182.4,0.12828947368421054,4.0,0.0
2017,2017-02,cine_photo,1,1,95.24,0.38051238975220497,5.0,0.0
2017,2017-02,computers,1,1,3602.47,0.014842594109041853,5.0,0.0
2017,2017-02,computers_accessories,106,97,13744.35,0.2672229913377126,3.9615384615384617,0.05154639175257732
2017,2017-02,consoles_games,18,18,4637.96,0.12077000293139212,4.111111111111111,0.0
2017,2017-02,construction_tools_construction,3,3,393.57,0.17632605527647288,5.0,0.0
2017,2017-02,construction_tools_safety,1,1,396.86,0.04500327571435771,5.0,0.0
2017,2017-02,cool_stuff,70,69,14857.05,0.1516702917479002,4.3,0.0
2017,2017-02,costruction_tools_garden,2,1,624.68,0.07155663699814305,5.0,0.0
2017,2017-02,dvds_blu_ray,1,1,35.7,0.5826330532212886,4.0,0.0
2017,2017-02,electronics,19,14,1555.5,0.3306973544422663,4.2105263157894735,0.0
2017,2017-02,fashio_female_clothing,4,4,519.77,0.11833902958357813,3.0,0.0
2017,2017-02,fashion_bags_accessories,40,35,2996.11,0.23700901849079525,4.153846153846154,0.0
2017,2017-02,fashion_male_clothing,7,7,763.02,0.18340955136535236,4.142857142857143,0.0
